# t Rcm_x Rcm_y RMS momentum d_min
0.00000000e+00 -1.38545115e-02 -3.77379235e-02 4.51763826e-01 2.06617619e-01 2.11439658e-02
1.00000000e-03 -1.38525712e-02 -3.77366013e-02 4.51582834e-01 2.06617619e-01 2.08954776e-02
2.00000000e-03 -1.38506310e-02 -3.77352791e-02 4.51225816e-01 2.06617619e-01 2.04463517e-02
3.00000000e-03 -1.38486907e-02 -3.77339570e-02 4.50694020e-01 2.06617619e-01 1.98001768e-02
4.00000000e-03 -1.38467505e-02 -3.77326348e-02 4.49989496e-01 2.06617619e-01 1.89620475e-02
5.00000000e-03 -1.38448102e-02 -3.77313126e-02 4.49115546e-01 2.06617619e-01 1.79388222e-02
6.00000000e-03 -1.38428700e-02 -3.77299904e-02 4.48077321e-01 2.06617619e-01 1.15664323e-02
7.00000000e-03 -1.38409297e-02 -3.77286682e-02 4.46881396e-01 2.06617619e-01 9.15610001e-03
8.00000000e-03 -1.38389894e-02 -3.77273461e-02 4.45532438e-01 2.06617619e-01 1.38623240e-02
9.00000000e-03 -1.38370492e-02 -3.77260239e-02 4.44033622e-01 2.06617619e-01 1.22190834e-02
1.00000000e-02 -1.38351089e-02 -3.77247017e-02 4.42390875e-01 2.06617619e-01 1.02620752e-02
1.10000000e-02 -1.38331687e-02 -3.77233795e-02 4.40610233e-01 2.06617619e-01 7.37769207e-03
1.20000000e-02 -1.38312284e-02 -3.77220573e-02 4.38697563e-01 2.06617619e-01 4.38442000e-03
1.30000000e-02 -1.38292882e-02 -3.77207351e-02 4.36662669e-01 2.06617619e-01 1.40322676e-03
1.40000000e-02 -1.38273479e-02 -3.77194130e-02 4.34513770e-01 2.06617619e-01 1.95209593e-03
1.50000000e-02 -1.38254076e-02 -3.77180908e-02 4.32249394e-01 2.06617619e-01 2.62559416e-03
1.60000000e-02 -1.38234674e-02 -3.77167686e-02 4.29866448e-01 2.06617619e-01 2.97850373e-03
1.70000000e-02 -1.38215271e-02 -3.77154464e-02 4.27360778e-01 2.06617619e-01 1.41179829e-03
1.80000000e-02 -1.38195869e-02 -3.77141242e-02 4.24731904e-01 2.06617619e-01 1.09582214e-03
1.90000000e-02 -1.38176466e-02 -3.77128021e-02 4.21984604e-01 2.06617619e-01 3.24420911e-03
2.00000000e-02 -1.38157063e-02 -3.77114799e-02 4.19125889e-01 2.06617619e-01 2.49231553e-03
2.10000000e-02 -1.38137661e-02 -3.77101577e-02 4.16167416e-01 2.06617619e-01 7.36472472e-03
2.20000000e-02 -1.38118258e-02 -3.77088355e-02 4.13124106e-01 2.06617619e-01 3.57272157e-03
2.30000000e-02 -1.38098856e-02 -3.77075133e-02 4.10002131e-01 2.06617619e-01 6.72354256e-03
2.40000000e-02 -1.38079453e-02 -3.77061912e-02 4.06796459e-01 2.06617619e-01 6.39849323e-03
2.50000000e-02 -1.38060051e-02 -3.77048690e-02 4.03499095e-01 2.06617619e-01 2.24126052e-03
2.60000000e-02 -1.38040648e-02 -3.77035468e-02 4.00104610e-01 2.06617619e-01 1.52957606e-03
2.70000000e-02 -1.38021245e-02 -3.77022246e-02 3.96604657e-01 2.06617619e-01 3.03761198e-03
2.80000000e-02 -1.38001843e-02 -3.77009024e-02 3.92989319e-01 2.06617619e-01 2.78187459e-03
