# schedule_type chunk threads mean stddev
0 1 8 2.37997 0.00130766
0 8 8 2.45508 0.00149317
0 16 8 2.46822 0.00111703
0 32 8 2.4837 0.00148814
0 64 8 2.47984 0.00153579
0 128 8 2.4804 0.00111885
1 1 8 2.40249 0.000601952
1 8 8 2.43863 0.00112441
1 16 8 2.45394 0.000238268
1 32 8 2.47218 0.000321159
1 64 8 2.47207 0.000395475
1 128 8 2.47444 0.00116143
2 1 8 2.41145 0.000396262
2 8 8 2.45681 0.000412978
2 16 8 2.47625 0.000771736
2 32 8 2.48941 0.000645342
2 64 8 2.64123 0.00067843
2 128 8 2.83684 0.000815734
