# seed=42
# N variant block_size kernel_mean kernel_stddev transfers_mean transfers_stddev endtoend_mean endtoend_stddev
256 0 64 0.00700532 2.06021e-06 0.0113345 4.06038e-05 0.0114875 2.18201e-05
256 0 128 0.00685844 3.62248e-06 0.0113062 1.66776e-05 0.0114689 1.5278e-05
256 0 256 0.00709384 1.43745e-06 0.0113537 7.73371e-06 0.0115241 9.73077e-06
256 0 512 0.00709364 1.38e-06 0.0115326 0.000107922 0.011771 1.29468e-05
256 0 1024 0.00709416 1.17553e-06 0.0115927 1.55982e-05 0.011774 1.13145e-05
256 1 64 0.00579356 1.67409e-05 0.0103069 6.66276e-06 0.0104788 1.46727e-05
256 1 128 0.00570822 9.64956e-07 0.010219 1.06342e-05 0.0104058 1.13228e-05
256 1 256 0.00639788 8.29573e-07 0.0108972 7.60375e-06 0.0110646 1.00125e-05
256 1 512 0.00639475 1.64055e-06 0.0109197 1.65671e-05 0.0110894 1.89392e-05
256 1 1024 0.00642261 1.31429e-06 0.0109196 1.34172e-05 0.0110916 1.18127e-05
512 0 64 0.0136094 6.47705e-07 0.0184025 3.13549e-05 0.0187418 1.79818e-05
512 0 128 0.0132006 1.2437e-06 0.0180989 1.50605e-05 0.0184527 1.75278e-05
512 0 256 0.0140643 6.3287e-06 0.019014 3.61766e-05 0.0193655 1.46379e-05
512 0 512 0.0177742 2.33503e-06 0.0225416 1.60383e-05 0.0228984 6.42706e-06
512 0 1024 0.0177747 3.38889e-06 0.0225328 1.52868e-05 0.0228944 1.06454e-05
512 1 64 0.0112955 6.14635e-06 0.0160713 1.02458e-05 0.0164311 2.71455e-05
512 1 128 0.011162 3.79427e-06 0.0159445 1.37971e-05 0.0163018 1.08669e-05
512 1 256 0.0125369 1.75332e-06 0.0173321 2.6417e-05 0.0176934 2.33334e-05
512 1 512 0.0175652 4.0189e-06 0.0223439 1.81783e-05 0.0227098 2.90011e-05
512 1 1024 0.0175801 1.80757e-06 0.0223337 1.11377e-05 0.0227141 1.8579e-05
1024 0 64 0.0269268 1.57963e-05 0.0322707 1.92248e-05 0.0329896 3.60432e-05
1024 0 128 0.0266114 8.18493e-06 0.0320496 2.83159e-05 0.0327516 1.81677e-05
1024 0 256 0.0277649 1.08782e-05 0.0332713 1.19896e-05 0.0339615 1.12302e-05
1024 0 512 0.0355309 5.92416e-06 0.0411953 1.16485e-05 0.0419116 2.94467e-05
1024 0 1024 0.0654647 1.67668e-06 0.0707802 2.16812e-05 0.0714844 1.67329e-05
1024 1 64 0.0222758 6.40302e-06 0.0276245 2.88824e-05 0.0283133 1.95334e-05
1024 1 128 0.0220307 7.5325e-06 0.0273663 3.27944e-05 0.0280482 2.3055e-05
1024 1 256 0.0248001 1.17193e-05 0.0301296 2.89026e-05 0.0308289 2.68455e-05
1024 1 512 0.0349301 8.89651e-06 0.0402201 1.37997e-05 0.0409245 1.56421e-05
1024 1 1024 0.0662436 2.43234e-06 0.0715623 1.21418e-05 0.0722652 1.46333e-05
2000 0 64 0.0517386 9.57138e-06 0.0579983 2.81346e-05 0.0593507 3.59453e-05
2000 0 128 0.052255 2.2793e-05 0.0585624 1.27148e-05 0.0599056 3.14083e-05
2000 0 256 0.0553973 3.32475e-05 0.061771 3.71622e-05 0.0631237 2.33736e-05
2000 0 512 0.0690423 5.41801e-05 0.0756184 2.5894e-05 0.0769398 2.65344e-05
2000 0 1024 0.126528 3.31909e-05 0.132842 4.20262e-05 0.13417 3.24319e-05
2000 1 64 0.0432495 1.35171e-05 0.0494768 2.17736e-05 0.0508285 2.55038e-05
2000 1 128 0.0427702 1.64906e-05 0.0490149 1.86264e-05 0.0503453 3.26207e-05
2000 1 256 0.0480732 1.8705e-05 0.0542957 4.80307e-05 0.0556554 2.2356e-05
2000 1 512 0.0682592 2.38769e-05 0.0745887 4.03242e-05 0.0760101 3.77324e-05
2000 1 1024 0.129268 1.97898e-05 0.135515 2.4605e-05 0.136946 4.80068e-05
