# t K U E
0.00000000e+00 2.00036410e+02 -7.95746955e+03 -7.75743314e+03
1.00000000e-03 2.13166713e+02 -7.97881000e+03 -7.76564328e+03
2.00000000e-03 2.43175865e+02 -8.01812275e+03 -7.77494688e+03
3.00000000e-03 2.92596584e+02 -8.07869446e+03 -7.78609788e+03
4.00000000e-03 3.65571107e+02 -8.16546253e+03 -7.79989142e+03
5.00000000e-03 4.67639635e+02 -8.28313940e+03 -7.81549977e+03
6.00000000e-03 6.00586252e+02 -8.42420924e+03 -7.82362299e+03
7.00000000e-03 7.42565440e+02 -8.55526420e+03 -7.81269876e+03
8.00000000e-03 8.63820380e+02 -8.68053817e+03 -7.81671780e+03
9.00000000e-03 1.00407133e+03 -8.83916306e+03 -7.83509173e+03
1.00000000e-02 1.17527842e+03 -9.00594923e+03 -7.83067081e+03
1.10000000e-02 1.33697753e+03 -9.17738386e+03 -7.84040633e+03
1.20000000e-02 1.52904078e+03 -9.38668445e+03 -7.85764367e+03
1.30000000e-02 1.74459362e+03 -9.57079594e+03 -7.82620232e+03
1.40000000e-02 1.87469705e+03 -9.64644548e+03 -7.77174843e+03
1.50000000e-02 1.92243221e+03 -9.69460478e+03 -7.77217257e+03
1.60000000e-02 1.96510968e+03 -9.73179802e+03 -7.76668834e+03
1.70000000e-02 2.01408154e+03 -9.81855959e+03 -7.80447805e+03
1.80000000e-02 2.14162100e+03 -9.97682912e+03 -7.83520813e+03
1.90000000e-02 2.32379126e+03 -1.01771266e+04 -7.85333533e+03
2.00000000e-02 2.54804544e+03 -1.04331130e+04 -7.88506759e+03
2.10000000e-02 2.83455052e+03 -1.07128896e+04 -7.87833908e+03
2.20000000e-02 3.07841119e+03 -1.08813720e+04 -7.80296076e+03
2.30000000e-02 3.16997346e+03 -1.09098062e+04 -7.73983277e+03
2.40000000e-02 3.15249723e+03 -1.08821493e+04 -7.72965209e+03
2.50000000e-02 3.12446091e+03 -1.08560999e+04 -7.73163897e+03
2.60000000e-02 3.09166709e+03 -1.08096004e+04 -7.71793329e+03
2.70000000e-02 3.03363771e+03 -1.07732555e+04 -7.73961776e+03
2.80000000e-02 3.03765977e+03 -1.08378650e+04 -7.80020522e+03
2.90000000e-02 3.16529265e+03 -1.10258133e+04 -7.86052070e+03
3.00000000e-02 3.41096729e+03 -1.13142153e+04 -7.90324800e+03
3.10000000e-02 3.73302526e+03 -1.16488050e+04 -7.91577979e+03
3.20000000e-02 4.07602730e+03 -1.19679414e+04 -7.89191409e+03
3.30000000e-02 4.33409452e+03 -1.20909122e+04 -7.75681769e+03
3.40000000e-02 4.32164517e+03 -1.20243773e+04 -7.70273217e+03
3.50000000e-02 4.25475221e+03 -1.20239808e+04 -7.76922856e+03
3.60000000e-02 4.33549262e+03 -1.21766961e+04 -7.84120349e+03
3.70000000e-02 4.54280112e+03 -1.23735234e+04 -7.83072224e+03
3.80000000e-02 4.67560006e+03 -1.23901515e+04 -7.71455146e+03
3.90000000e-02 4.59859729e+03 -1.22894198e+04 -7.69082253e+03
4.00000000e-02 4.49653651e+03 -1.22033219e+04 -7.70678536e+03
4.10000000e-02 4.42567915e+03 -1.21617102e+04 -7.73603104e+03
4.20000000e-02 4.42016251e+03 -1.21975460e+04 -7.77738347e+03
4.30000000e-02 4.49358835e+03 -1.22975471e+04 -7.80395878e+03
4.40000000e-02 4.61523960e+03 -1.24316260e+04 -7.81638637e+03
4.50000000e-02 4.75570336e+03 -1.25656825e+04 -7.80997911e+03
4.60000000e-02 4.88057816e+03 -1.26947284e+04 -7.81415020e+03
4.70000000e-02 5.03087902e+03 -1.28916279e+04 -7.86074888e+03
4.80000000e-02 5.28049249e+03 -1.31882542e+04 -7.90776175e+03
4.90000000e-02 5.61535948e+03 -1.35541325e+04 -7.93877306e+03
5.00000000e-02 6.02564091e+03 -1.40381065e+04 -8.01246555e+03
5.10000000e-02 6.60402053e+03 -1.47064658e+04 -8.10244528e+03
5.20000000e-02 7.34347959e+03 -1.54037078e+04 -8.06022825e+03
5.30000000e-02 7.93808276e+03 -1.58478608e+04 -7.90977799e+03
5.40000000e-02 8.27413050e+03 -1.61567087e+04 -7.88257816e+03
5.50000000e-02 8.53479479e+03 -1.62290123e+04 -7.69421755e+03
5.60000000e-02 8.41570821e+03 -1.60648741e+04 -7.64916585e+03
5.70000000e-02 8.25033904e+03 -1.59267119e+04 -7.67637289e+03
5.80000000e-02 8.14899235e+03 -1.58902932e+04 -7.74130085e+03
5.90000000e-02 8.17619877e+03 -1.59523685e+04 -7.77616971e+03
6.00000000e-02 8.24298273e+03 -1.60391817e+04 -7.79619897e+03
6.10000000e-02 8.39501768e+03 -1.62731184e+04 -7.87810069e+03
