# seed=42
# schedule_type chunk threads mean stddev
0 1 8 3.20116 0.00142789
0 8 8 3.25869 0.00336084
0 16 8 3.28761 0.00727503
0 32 8 3.28372 0.00532078
0 64 8 3.28309 0.00254431
0 128 8 3.28623 0.0025137
1 1 8 3.20185 0.000327602
1 8 8 3.25755 0.000384191
1 16 8 3.26164 0.000249901
1 32 8 3.26453 0.000429961
1 64 8 3.26269 0.000358084
1 128 8 3.26583 0.000323668
2 1 8 3.18966 0.00023853
2 8 8 3.24961 0.000236937
2 16 8 3.28058 0.000348151
2 32 8 3.28565 0.000265812
2 64 8 3.49469 0.000501194
2 128 8 3.75887 0.000494869
